fighter,opponent,date,reason
Lorenz Larkin,Nick Rossborough,2023-09-19 20:11:00,No name match above threshold
Lorenz Larkin,Gian Villante,2024-06-16 20:11:00,No name match above threshold
Robbie Lawler,Evan Tanner,2022-10-04 20:04:00,No name match above threshold
JeongYeong Lee,Lu Kai,2023-10-06 20:22:00,No name match above threshold
Li Jingliang,David Zawada,2024-11-02 20:18:00,No name match above threshold
Liang Na,Ariane Carnelossi,2024-04-02 20:21:00,No name match above threshold
Christian Lohsen,JJ Okanovich,2023-07-05 20:19:00,No name match above threshold
Michael Lombardo,Kyle Daukaus,2025-06-02 20:19:00,No name match above threshold
Benito Lopez,Steven Peterson,2022-08-07 20:17:00,No name match above threshold
Waylon Lowe,Willamy Freire,2022-01-02 20:11:00,No odds in date range
Lu Kai,JeongYeong Lee,2023-10-06 20:22:00,No name match above threshold
Lawrence Lui,Zhang Qinghe,2023-05-04 20:25:00,No name match above threshold
Travis Lutter,Marvin Eastman,2022-10-04 20:04:00,No name match above threshold
Yoshiro Maeda,Cole Escovedo,2022-03-13 20:10:00,No name match above threshold
Yoshiro Maeda,Charles Bennett,2022-05-07 20:05:00,No name match above threshold
Leonardo Mafra,Thiago Perpetuo,2023-06-02 20:12:00,No name match above threshold
Lolohea Mahe,Shane del Rosario,2023-07-09 20:10:00,No name match above threshold
Bill Mahood,Patrick Cote,2022-05-16 20:04:00,No name match above threshold
Fabio Maldonado,Gian Villante,2023-03-02 20:14:00,No name match above threshold
Dominic Mar Fan,Yuji Ephoevi-Ga,2023-05-04 20:25:00,No name match above threshold
Ronny Markes,Thiago Santos,2023-03-02 20:14:00,No name match above threshold
Jorge Masvidal,Kamaru Usman,2024-04-02 20:21:00,No name match above threshold
Arisa Matsuda,Feng Xiaocan,2022-05-02 20:25:00,No name match above threshold
Daijiro Matsui,Kazuki Okubo,2023-12-03 20:02:00,No name match above threshold
Daijiro Matsui,Quinton Jackson,2023-12-02 20:01:00,No name match above threshold
Koyomi Matsushima,Yizha,2023-10-05 20:22:00,No name match above threshold
Gray Maynard,TJ Grant,2025-05-02 20:13:00,No name match above threshold
Francesco Mazzeo,Kevin Christian,2024-09-07 20:24:00,No name match above threshold
Danni McCormack,Yan Qihui,2023-08-06 20:24:00,No name match above threshold
Rob McCullough,Shinya Aoki,2024-09-17 20:11:00,No name match above threshold
Rob McCullough,Josh Thomson,2023-11-03 20:02:00,No name match above threshold
Cody McKenzie,Yves Edwards,2022-01-02 20:11:00,No odds in date range
Terrance McKinney,Sean Woodson,2023-07-05 20:19:00,No name match above threshold
Brian McLaughlin,Sterling Ford,2022-07-17 20:11:00,No name match above threshold
Tim Means,Court McGee,2024-10-05 00:00:00,No name match above threshold
Anistavio Medeiros,Rodrigo Damm,2023-06-02 20:12:00,No name match above threshold
Brian Melancon,Felipe Portela,2023-09-19 20:11:00,No name match above threshold
Mateus Mendonca,Jesus Aguilar,2024-02-02 20:24:00,No name match above threshold
Alonzo Menifield,Daniel Jolly,2025-07-03 20:17:00,No name match above threshold
Ivan Menjivar,Georges St-Pierre,2025-01-07 20:02:00,No name match above threshold
Guy Mezger,Rogerio Nogueira,2023-12-03 20:02:00,No name match above threshold
Kristof Midoux,Fabricio Werdum,2022-03-02 20:03:00,No name match above threshold
Cole Miller,Matt Wiman,2022-01-02 20:11:00,No odds in date range
Ikuhisa Minowa,Baru Harn,2024-09-17 20:11:00,No name match above threshold
Ikuhisa Minowa,Jimmy Ambriz,2022-03-13 20:10:00,No name match above threshold
Ikuhisa Minowa,Phil Baroni,2022-05-07 20:05:00,No name match above threshold
Ikuhisa Minowa,Ryan Gracie,2023-05-03 20:04:00,No name match above threshold
Kazuo Misaki,Jorge Patino,2023-05-03 20:04:00,No name match above threshold
Dokonjonosuke Mishima,Yves Edwards,2022-05-07 20:05:00,No name match above threshold
Matt Mitrione,Tim Hague,2022-01-02 20:11:00,No odds in date range
Roxanne Modafferi,Sarah Kaufman,2023-07-09 20:10:00,No name match above threshold
Jeff Molina,Aoriqileng,2024-04-02 20:21:00,No name match above threshold
Jeff Molina,Jacob Silva,2025-08-04 20:20:00,No name match above threshold
Todd Moore,Jason High,2023-09-19 20:11:00,No name match above threshold
Sergio Moraes,Cezar Ferreira,2023-06-02 20:12:00,No name match above threshold
Vince Morales,Song Yadong,2024-11-02 20:18:00,No name match above threshold
Brandon Moreno,Brandon Royval,2024-02-02 20:24:00,No name match above threshold
Sammy Morgan,Paul Daley,2025-01-04 20:08:00,No name match above threshold
Alex Morono,Song Kenan,2024-11-02 20:18:00,No name match above threshold
Miki Motono,Feng Xiaocan,2023-08-06 20:24:00,No name match above threshold
Lauren Mueller,Wu Yanan,2024-11-02 20:18:00,No name match above threshold
Quinn Mulhern,Danny Davis,2023-09-19 20:11:00,No name match above threshold
Quinn Mulhern,Jason High,2024-06-16 20:11:00,No name match above threshold
Melissa Mullins,Daria Zhelezniakova,2025-06-21 00:00:00,No name match above threshold
Alexander Munoz,Nick Newell,2024-07-06 20:18:00,No name match above threshold
Samandar Murodov,Jonathan Piersma,2023-08-06 20:24:00,No name match above threshold
Samandar Murodov,Gian Siqueira,2023-10-06 20:22:00,No name match above threshold
Muhammad Naimov,Bogdan Grad,2025-06-21 00:00:00,No name match above threshold
Muhammad Naimov,Erik Silva,2024-02-02 20:24:00,No name match above threshold
Andrews Nakahara,Ryo Chonan,2022-03-13 20:10:00,No name match above threshold
Kazuhiro Nakamura,Gerald Harris,2024-09-17 20:11:00,No name match above threshold
Kazuhiro Nakamura,Chalid Arrab,2023-05-03 20:04:00,No name match above threshold
Rinya Nakamura,Shohei Nose,2023-10-06 20:22:00,No name match above threshold
Keiichiro Nakamura,EoJin Park,2022-05-02 20:25:00,No name match above threshold
Tokitaka Nakanishi,Baergeng Jieleyisi,2023-08-06 20:24:00,No name match above threshold
Rose Namajunas,Zhang Weili,2024-04-02 20:21:00,No name match above threshold
Kevin Natividad,Batgerel Danaa,2024-04-02 20:21:00,No name match above threshold
Geoff Neal,Chase Waldon,2025-07-03 20:17:00,No name match above threshold
Eduardo Neves,Mick Parkin,2023-08-05 20:22:00,No name match above threshold
Nick Newell,Alexander Munoz,2024-07-06 20:18:00,No name match above threshold
Carlos Newton,Daiju Takase,2023-05-03 20:04:00,No name match above threshold
Francis Ngannou,Curtis Blaydes,2024-11-02 20:18:00,No name match above threshold
Nghiem Van Y,Rui Imura,2023-05-04 20:25:00,No name match above threshold
Antonio Rodrigo Nogueira,Dan Henderson,2023-12-03 20:02:00,No name match above threshold
Antonio Rodrigo Nogueira,Semmy Schilt,2024-11-02 20:02:00,No name match above threshold
Rogerio Nogueira,Guy Mezger,2023-12-03 20:02:00,No name match above threshold
KJ Noons,Donald Cerrone,2025-05-02 20:13:00,No name match above threshold
KJ Noons,Andre Amado,2022-03-13 20:10:00,No name match above threshold
Jan Nortje,Yoshihisa Yamamoto,2023-12-02 20:01:00,No name match above threshold
Shohei Nose,Rinya Nakamura,2023-10-06 20:22:00,No name match above threshold
Khabib Nurmagomedov,Abel Trujillo,2025-05-02 20:13:00,No name match above threshold
Kennedy Nzechukwu,Anton Berzin,2022-08-07 20:17:00,No name match above threshold
JJ Okanovich,Christian Lohsen,2023-07-05 20:19:00,No name match above threshold
