fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown
http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9,Daniel Spohn,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5,76.0,205.0,76.0,205.0,79.0,15,6,0,40.7,0,0,0,1,0,0
http://ufcstats.com/fighter-details/c3ea8deeba00462b,Pete Spratt,1.63,0.48,1.33,0.55,0.3,1.0,0.46,0.3,69.0,170.0,69.0,170.0,,25,23,0,54.4,0,1,0,0,0,0
http://ufcstats.com/fighter-details/37cc294027f55e4d,Austin Springer,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8,68.0,145.0,68.0,145.0,71.0,12,4,0,38.1,0,1,0,0,0,0
http://ufcstats.com/fighter-details/6506c1d34da9c013,Georges St-Pierre,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,71.0,185.0,71.0,185.0,76.0,26,2,0,44.1,0,1,0,0,0,0
http://ufcstats.com/fighter-details/6436029b50a9c255,Bobby Stack,1.0,0.2,2.89,0.34,7.48,0.45,1.0,0.0,69.0,155.0,69.0,155.0,,8,3,0,,0,1,0,0,0,0
http://ufcstats.com/fighter-details/69a400af4420cd6a,Andreas Stahl,2.83,0.37,4.74,0.57,1.55,0.66,0.8,0.0,71.0,170.0,71.0,170.0,,10,4,0,37.1,0,1,0,0,0,0
http://ufcstats.com/fighter-details/6dd758d34da8d254,Ron Stallings,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0,74.0,170.0,74.0,170.0,75.0,14,8,0,42.4,0,0,0,1,0,0
http://ufcstats.com/fighter-details/bf7ad5628363eec9,Cody Stamann,4.32,0.46,3.91,0.6,2.17,0.37,0.76,0.0,66.0,135.0,66.0,135.0,64.0,21,8,1,35.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/175852708cb55776,Cristina Stanciu,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7,63.0,115.0,63.0,115.0,,5,2,0,31.2,0,1,0,0,0,0
http://ufcstats.com/fighter-details/579fcdfcabd23a7b,Brian Stann,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,73.0,205.0,73.0,205.0,74.0,12,6,0,44.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/30ea504870f8597b,Josh Stansbury,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0,74.0,205.0,74.0,205.0,74.0,4,8,0,40.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/289a57039d742bfe,Dion Staring,1.09,0.37,5.0,0.47,0.0,0.0,0.33,0.0,73.0,235.0,73.0,235.0,,35,14,0,47.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/93e4754d0984c82f,Lucas Stark,1.6,0.25,3.2,0.66,12.0,1.0,0.0,0.0,,155.0,,155.0,,1,5,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/5abf827d62f98fee,Clifford Starks,1.94,0.33,2.49,0.58,1.94,1.0,0.6,0.0,72.0,185.0,72.0,185.0,78.0,13,3,0,44.1,0,1,0,0,0,0
http://ufcstats.com/fighter-details/c8136ab8aa32c974,Kalib Starnes,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,75.0,185.0,75.0,185.0,74.0,17,11,1,50.4,0,1,0,0,0,0
http://ufcstats.com/fighter-details/a12a8314adc1c1c9,Laureano Staropoli,3.31,0.34,3.73,0.54,0.83,0.26,0.48,0.0,73.0,185.0,73.0,185.0,71.0,9,5,0,32.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/42a7e90605df3c8a,Damian Stasiak,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6,65.0,135.0,65.0,135.0,70.0,10,6,0,35.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/16044bd8762cf794,Adam Steele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,170.0,,170.0,,0,1,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/68c11c27d4d56572,Dominique Steele,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,70.0,170.0,70.0,170.0,74.0,14,9,0,37.4,0,1,0,0,0,0
